"geoid","percent"
1001,45.690999346451
1003,43.343220242609
1005,41.7469246286998
1007,36.4102641658725
1009,35.9753939581378
1011,38.334025346417
1013,38.1493461858328
1015,36.6472925126442
1017,37.0648990655856
1019,29.7646138836571
1021,35.1201179298937
1023,40.7901391359482
1025,43.4694762306376
1027,28.2676167533155
1029,32.7671754553908
1031,42.4078554507213
1033,37.5248076835661
1035,45.1310227568884
1037,34.2453469936186
1039,39.4657575866749
1041,34.0234747224145
1043,36.1541655463613
1045,40.0402346570987
1047,45.3644514409963
1049,30.2811688946083
1051,35.689293194189
1053,35.5670336608326
1055,29.8062551675661
1057,30.195654688082
1059,36.5280808308293
1061,42.2261384294476
1063,44.2212178572129
1065,39.0134910110463
1067,43.9299522487216
1069,45.348112294379
1071,31.806713733791
1073,39.1727479130447
1075,38.3847201343635
1077,39.4278115355794
1079,38.5946562989105
1081,38.2885458071525
1083,35.3388112692028
1085,42.4988864847512
1087,45.1835803570197
1089,35.5623636859698
1091,38.4882291722983
1093,37.8135703322903
1095,33.4622557807105
1097,50.8421422059502
1099,42.4342547423628
1101,47.1034858107636
1103,41.9228213751784
1105,48.8659294458836
1107,38.0534086273643
1109,34.7664936993475
1111,36.9934909335816
1113,39.2106159158493
1115,34.6125782859127
1117,36.847397248035
1119,42.6179011695284
1121,37.6506718336046
1123,36.9486865524805
1125,46.119799195028
1127,38.9234635233814
1129,41.642031287004
1131,47.7569116758312
1133,38.2764492774836
4001,42.3814130693347
4003,61.9089352721377
4005,38.405953259012
4007,57.1203391126127
4009,69.0323826949467
4011,70.1207825307715
4012,78.9002263581014
4013,73.1002901207242
4015,67.7465797622666
4017,40.8127101565379
4019,75.1563045284072
4021,68.6544535353655
4023,68.7353521336495
4025,48.2298266508289
4027,72.9490846761776
5001,42.0905485167304
5003,41.452456432424
5005,40.367570010461
5007,34.1692167371446
5009,38.4469600728217
5011,41.57212873511
5013,43.6532305174841
5015,39.164554033063
5017,50.0970932099553
5019,44.1526676701954
5021,44.707680757664
5023,34.0484044485592
5025,44.4891887391138
5027,44.4690994828677
5029,39.4710768092123
5031,42.4608213022956
5033,49.4289022121871
5035,46.2537532238321
5037,42.8592607378621
5039,43.2362708139216
5041,44.1892652931189
5043,45.5547174987407
5045,45.5367624616988
5047,43.1792826969204
5049,36.6052705366111
5051,47.6644987127484
5053,46.7910106200015
5055,43.5694914421586
5057,46.4173981579006
5059,43.8254344583521
5061,46.2490679167204
5063,42.9902880729785
5065,42.4714188412186
5067,39.9115657556596
5069,45.7593844821567
5071,39.0414861650273
5073,50.5591972150597
5075,38.6954351301917
5077,42.7025431009045
5079,36.5029300433383
5081,47.1509850937105
5083,44.9729873412702
5085,40.7667441515305
5087,35.857425616157
5089,43.3333026469309
5091,51.7287337238074
5093,42.9252916807498
5095,40.5878451860909
5097,42.3508817206594
5099,49.6451638818423
5101,33.2412483723529
5103,49.7121149116433
5105,41.5230636165741
5107,44.1711963000801
5109,37.2758100574898
5111,41.3147005456335
5113,41.6613957850844
5115,46.5237788214447
5117,44.374589248702
5119,44.059670738649
5121,42.5949678481138
5123,43.6239317295871
5125,42.8239241402248
5127,44.4477946398214
5129,36.8312732716562
5131,45.8066579929783
5133,51.7578723389593
5135,37.45437661479
5137,45.5751083676851
5139,48.9217818950072
5141,33.9081508325211
5143,39.9756536877329
5145,45.7811105626952
5147,47.4676981558512
5149,46.7187202004388
6001,45.3971653360146
6003,36.3159666520084
6005,63.2001686839043
6007,66.2883808584429
6009,63.2188260742934
6011,61.5954143833075
6013,55.4076035159765
6015,22.1145651576709
6017,57.0729665006756
6019,74.1643189457928
6021,65.8183712022819
6023,27.844232194425
6025,87.528950562325
6027,49.5914529017947
6029,59.1288285095372
6031,64.3147537344591
6033,69.4645232039897
6035,41.8305231722696
6037,60.528673248764
6039,58.1382323819732
6041,56.8496371481144
6043,51.1421685380124
6045,55.9449703535635
6047,60.9748386267558
6049,44.9462884656193
6051,33.1468575159909
6053,42.6191641544222
6055,54.6390051154546
6057,51.8361071340355
6059,50.1060094422835
6061,58.8707417557939
6063,41.7228793868781
6065,70.6501517195409
6067,62.8030619815438
6069,48.9738511891779
6071,64.5691956911746
6073,50.9983199555301
6075,33.839125618717
6077,53.6644979427794
6079,40.1377078169089
6081,31.6737224003129
6083,42.2656602432448
6085,44.8653189865526
6087,46.6808508569246
6089,77.2555070503607
6091,29.0539330846811
6093,39.3782899687005
6095,63.9411238769644
6097,62.2193909504703
6099,61.9873104458117
6101,69.8720076554228
6103,70.6622540176717
6105,51.1327012880153
6107,61.3276996447128
6109,58.104856518974
6111,56.8837480510427
6113,63.1652996217336
6115,67.536885287341
8001,43.2378171417709
8003,25.2367057676578
8005,35.761731070844
8007,12.4435136719797
8009,54.3666783439537
8011,51.9190595430438
8013,40.5606380850932
8014,31.9843332377857
8015,19.4860035968424
